,Topic,Count,Name,Representation,Representative_Docs,track_name,album_name,song_index,key
0,-1,34,-1_made_cause_worst_smart,"['made', 'cause', 'worst', 'smart', 'nave', 'make', 'known', 'know', 'stupidity', 'built']","[""'made',"", ""'made',"", ""'made',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
1,0,42,0_look_think_like_used,"['look', 'think', 'like', 'used', 'part', 'come', 'called', 'got', 'see', 'mean']","[""'look',"", ""'look',"", ""'look',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
2,1,34,1_famefucker_big_one_love,"['famefucker', 'big', 'one', 'love', 'hate', 'girl', 'god', 'anyone', 'thrill', 'age']","[""'big',"", ""'famefucker',"", ""'one',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
3,2,27,2_sold_lie_sunk_real,"['sold', 'lie', 'sunk', 'real', 'mistake', 'dry', 'truly', 'true', 'torture', 'told']","[""'sold',"", ""'sold',"", ""'lie',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
4,3,19,3_teeth_vampire_night_bloodsucker,"['teeth', 'vampire', 'night', 'bloodsucker', 'bleeding', 'party', 'paradise', 'diamond', 'castle', '']","[""'night',"", ""'bloodsucker',"", ""'night',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
5,4,19,4_oh_strange_goddamn_fine,"['oh', 'strange', 'goddamn', 'fine', 'crazy', 'ta', 'fucked', 'forbidden', 'cool', '']","[""'oh',"", ""'oh',"", ""'oh',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
6,5,11,5_way_never_without_sometimes,"['way', 'never', 'without', 'sometimes', 'kind', 'every', 'ever', '', '', '']","[""'way',"", ""'way',"", ""'way',""]",vampire,GUTS (spilled),0,GUTS (spilled)-vampire
7,-1,8,-1_lacy___,"['lacy', '', '', '', '', '', '', '', '', '']","[""'lacy',"", ""'lacy',"", ""['lacy',""]",lacy,GUTS (spilled),1,GUTS (spilled)-lacy
8,0,94,0_try_like_care_thing,"['try', 'like', 'care', 'thing', 'angel', 'sweetest', 'people', 'despise', 'skin', 'one']","[""'try',"", ""'try',"", ""'try',""]",lacy,GUTS (spilled),1,GUTS (spilled)-lacy
9,1,36,1_oh_ooh_well_yeah,"['oh', 'ooh', 'well', 'yeah', 'tell', 'much', 'hell', 'dear', '', '']","[""'oh',"", ""'oh',"", ""'oh',""]",lacy,GUTS (spilled),1,GUTS (spilled)-lacy
10,-1,10,-1_word_glass_talked_flirt,"['word', 'glass', 'talked', 'flirt', 'called', 'let', 'guess', '', '', '']","[""'word',"", ""'word',"", ""'word',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
11,0,80,0_ah_oh_wan_na,"['ah', 'oh', 'wan', 'na', 'cat', 'fine', 'uh', 'ugh', 'third', 'still']","[""'ah',"", ""'ah',"", ""'ah',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
12,1,33,1_suicide_worse_weird_wrong,"['suicide', 'worse', 'weird', 'wrong', 'die', 'alive', 'tragic', 'right', 'panic', 'hate']","[""'suicide',"", ""'suicide',"", ""'suicide',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
13,2,24,2_la___,"['la', '', '', '', '', '', '', '', '', '']","[""'la',"", ""'la',"", ""'la',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
14,3,23,3_stumbled_tripped_outside_fell,"['stumbled', 'tripped', 'outside', 'fell', 'curl', 'step', 'start', 'shocked', 'running', 'line']","[""'curl',"", ""'outside',"", ""'tripped',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
15,4,21,4_made_time_night_broke,"['made', 'time', 'night', 'broke', 'whole', 'twice', 'morning', 'everythin', 'every', 'day']","[""'made',"", ""'made',"", ""'made',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
16,5,20,5_guy_boy_gay_bone,"['guy', 'boy', 'gay', 'bone', 'blood', 'anyone', 'wife', 'god', 'hot', 'cold']","[""'guy',"", ""'guy',"", ""'guy',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
17,6,16,6_like_think_thought_say,"['like', 'think', 'thought', 'say', 'sat', 'type', 'got', 'go', 'get', 'fit']","[""'like',"", ""'like',"", ""'like',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
18,7,15,7_social_party_conversation_,"['social', 'party', 'conversation', '', '', '', '', '', '', '']","[""'social',"", ""'social',"", ""'social',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
19,8,15,8_know_tell_secret_told,"['know', 'tell', 'secret', 'told', 'swore', 'let', '', '', '', '']","[""'know',"", ""'know',"", ""'know',""]",ballad of a homeschooled girl,GUTS (spilled),2,GUTS (spilled)-ballad of a homeschooled girl
20,-1,1,-1_sometimes___,"['sometimes', '', '', '', '', '', '', '', '', '']","[""'sometimes',""]",making the bed,GUTS (spilled),3,GUTS (spilled)-making the bed
21,0,141,0_another_feel_like_head,"['another', 'feel', 'like', 'head', 'well', 'good', 'na', 'every', 'pull', 'wan']","[""'another',"", ""'another',"", ""'another',""]",making the bed,GUTS (spilled),3,GUTS (spilled)-making the bed
22,1,26,1_makin_bed_sheet_night,"['makin', 'bed', 'sheet', 'night', '', '', '', '', '', '']","[""'makin',"", ""'makin',"", ""'bed',""]",making the bed,GUTS (spilled),3,GUTS (spilled)-making the bed
23,2,11,2_thing_somethin_plastic_piece,"['thing', 'somethin', 'plastic', 'piece', 'nothing', '', '', '', '', '']","[""'thing',"", ""'thing',"", ""'thing',""]",making the bed,GUTS (spilled),3,GUTS (spilled)-making the bed
24,-1,24,-1_never_know_changin_thinkin,"['never', 'know', 'changin', 'thinkin', 'thinking', 'mind', 'lately', 'head', 'guess', 'every']","[""'never',"", ""'never',"", ""'never',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
25,0,62,0_oh_cause_could_possible,"['oh', 'cause', 'could', 'possible', 'lied', 'get', 'got', 'responsible', 'stop', 'horrible']","[""'oh',"", ""'oh',"", ""'oh',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
26,1,24,1_love_life_lovin_feel,"['love', 'life', 'lovin', 'feel', 'wall', 'unraveled', 'soft', 'fell', 'fall', 'current']","[""'love',"", ""'love',"", ""'love',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
27,2,19,2_sun_shine_rain_pour,"['sun', 'shine', 'rain', 'pour', 'sky', 'water', 'red', 'high', 'green', 'grass']","[""'rain',"", ""'shine',"", ""'rain',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
28,3,18,3_logical_equal__,"['logical', 'equal', '', '', '', '', '', '', '', '']","[""'logical',"", ""'logical',"", ""'logical',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
29,4,17,4_god_five_girl_young,"['god', 'five', 'girl', 'young', 'thing', 'savior', 'master', 'hell', 'giant', 'friend']","[""'five',"", ""'five',"", ""'god',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
30,5,11,5_two_plus_half_,"['two', 'plus', 'half', '', '', '', '', '', '', '']","[""'two',"", ""'two',"", ""'two',""]",logical,GUTS (spilled),4,GUTS (spilled)-logical
31,-1,45,-1_embarrassing_worth_mentionin_second,"['embarrassing', 'worth', 'mentionin', 'second', 'guy', 'back', 'comin', 'keep', 'givin', 'high']","[""'embarrassing',"", ""'embarrassing',"", ""'embarrassing',""]",love is embarrassing,GUTS (spilled),5,GUTS (spilled)-love is embarrassing
32,0,24,0_weird_yeah_mean_loser,"['weird', 'yeah', 'mean', 'loser', 'like', 'fucking', 'stupid', 'said', 'goddamn', 'even']","[""'yeah',"", ""'weird',"", ""'like',""]",love is embarrassing,GUTS (spilled),5,GUTS (spilled)-love is embarrassing
33,1,20,1_god_watch_hell_crucify,"['god', 'watch', 'hell', 'crucify', 'world', 'war', 'jesus', 'consoled', '', '']","[""'god',"", ""'god',"", ""'god',""]",love is embarrassing,GUTS (spilled),5,GUTS (spilled)-love is embarrassing
34,2,18,2_give_love_wedding_month,"['give', 'love', 'wedding', 'month', 'kissed', 'girlfriend', '', '', '', '']","[""'give',"", ""'give',"", ""'give',""]",love is embarrassing,GUTS (spilled),5,GUTS (spilled)-love is embarrassing
35,3,10,3_version_told_started_placed,"['version', 'told', 'started', 'placed', 'one', 'waited', 'near', 'iii', 'found', 'new']","[""'started',"", ""['told',"", ""'waited',""]",love is embarrassing,GUTS (spilled),5,GUTS (spilled)-love is embarrassing
36,4,10,4_string_thing_space_phone,"['string', 'thing', 'space', 'phone', 'bed', 'everything', '', '', '', '']","[""'string',"", ""'string',"", ""'thing',""]",love is embarrassing,GUTS (spilled),5,GUTS (spilled)-love is embarrassing
37,-1,14,-1_take_must_know_understand,"['take', 'must', 'know', 'understand', 'took', 'man', 'equal', 'enough', 'depends', 'argument']","[""'take',"", ""'take',"", ""'take',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
38,0,54,0_long_feel_care_time,"['long', 'feel', 'care', 'time', 'hurt', 'scream', 'hold', 'wan', 'cut', 'drew']","[""'long',"", ""'feel',"", ""'feel',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
39,1,24,1_say_think_let_go,"['say', 'think', 'let', 'go', 'know', 'na', 'like', 'mean', 'may', 'little']","[""'say',"", ""'say',"", ""'say',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
40,2,17,2_tried_try_could_would,"['tried', 'try', 'could', 'would', '', '', '', '', '', '']","[""'tried',"", ""'tried',"", ""'tried',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
41,3,16,3_everything_thing_every_anybody,"['everything', 'thing', 'every', 'anybody', 'one', 'never', 'ever', 'even', 'entire', 'detail']","[""'everything',"", ""'everything',"", ""'everything',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
42,4,15,4_still_fine_ooh_yet,"['still', 'fine', 'ooh', 'yet', 'yeah', 'sure', 'sorry', 'quite', 'fucking', 'changed']","[""'fine',"", ""'still',"", ""'fine',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
43,5,15,5_tough_strength_strong_easily,"['tough', 'strength', 'strong', 'easily', 'undying', 'crushed', 'alone', '', '', '']","[""'strength',"", ""'tough',"", ""'strength',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
44,6,12,6_forgive_trust_insecure_guilty,"['forgive', 'trust', 'insecure', 'guilty', 'grudge', 'doubt', 'deserved', 'confusion', 'betrayed', '']","[""'forgive',"", ""'forgive',"", ""'forgive',""]",the grudge,GUTS (spilled),6,GUTS (spilled)-the grudge
45,-1,30,-1_stop_start_grow_birthday,"['stop', 'start', 'grow', 'birthday', 'year', 'teenage', 'sorry', 'nineteen', 'excuse', 'wide']","[""'start',"", ""'stop',"", ""'grow',""]",teenage dream,GUTS (spilled),7,GUTS (spilled)-teenage dream
46,0,31,0_get_got_candle_blow,"['get', 'got', 'candle', 'blow', 'always', 'rest', 'every', 'call', 'bluff', 'back']","[""'get',"", ""'get',"", ""'get',""]",teenage dream,GUTS (spilled),7,GUTS (spilled)-teenage dream
47,1,22,1_dream_wise_life_happy,"['dream', 'wise', 'life', 'happy', 'good', 'fear', 'eyed', 'spend', 'reason', 'pretty']","[""'fear',"", ""'good',"", ""'life',""]",teenage dream,GUTS (spilled),7,GUTS (spilled)-teenage dream
48,2,21,2_say_gon_already_ahead,"['say', 'gon', 'already', 'ahead', 'quietly', 'go', 'enough', 'could', 'beyond', '']","[""'say',"", ""'say',"", ""'say',""]",teenage dream,GUTS (spilled),7,GUTS (spilled)-teenage dream
49,3,20,3_yeah_na_oh_whole,"['yeah', 'na', 'oh', 'whole', 'part', 'thing', 'guy', 'everyone', 'course', 'cool']","[""'yeah',"", ""'na',"", ""'na',""]",teenage dream,GUTS (spilled),7,GUTS (spilled)-teenage dream
50,4,18,4_better_best__,"['better', 'best', '', '', '', '', '', '', '', '']","[""'better',"", ""'better',"", ""'better',""]",teenage dream,GUTS (spilled),7,GUTS (spilled)-teenage dream
51,-1,32,-1_ex_every_bed_asleep,"['ex', 'every', 'bed', 'asleep', 'starin', 'ever', 'even', 'traveled', 'talk', 'star']","[""'ex',"", ""'ex',"", ""'ex',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
52,0,33,0_da_would_la_wan,"['da', 'would', 'la', 'wan', 'na', 'makin', 'goin', '', '', '']","[""'da',"", ""'da',"", ""'da',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
53,1,29,1_ah_yeah_well_oh,"['ah', 'yeah', 'well', 'oh', 'much', 'good', 'careful', 'best', 'uh', 'talented']","[""'ah',"", ""'ah',"", ""'ah',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
54,2,28,2_friend_side_love_baby,"['friend', 'side', 'love', 'baby', 'god', 'controllin', 'sign', 'picture', 'party', 'name']","[""'friend',"", ""'side',"", ""'love',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
55,3,17,3_think_remember_hurt_feel,"['think', 'remember', 'hurt', 'feel', 'seen', 'read', 'moved', 'mistake', 'matter', 'looked']","[""'think',"", ""'think',"", ""'think',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
56,4,16,4_help_got_like_get,"['help', 'got', 'like', 'get', 'type', 'make', 'kindly', 'issue', 'easy', '']","[""'help',"", ""'help',"", ""'help',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
57,5,15,5_know_tell_detail_told,"['know', 'tell', 'detail', 'told', 'knew', '', '', '', '', '']","[""'know',"", ""'know',"", ""'know',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
58,6,12,6_obsessed_crazy__,"['obsessed', 'crazy', '', '', '', '', '', '', '', '']","[""'obsessed',"", ""'obsessed',"", ""'obsessed',""]",obsessed,GUTS (spilled),8,GUTS (spilled)-obsessed
59,-1,35,-1_scared_cause_excuse_way,"['scared', 'cause', 'excuse', 'way', 'never', 'guitar', 'hard', 'next', 'creep', 'ever']","[""'scared',"", ""'scared',"", ""'scared',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
60,0,45,0_love_arm_cut_heart,"['love', 'arm', 'cut', 'heart', 'play', 'time', 'sleep', 'perfect', 'together', 'tied']","[""'love',"", ""'love',"", ""'love',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
61,1,24,1_pretend_lie_lay_guitar,"['pretend', 'lie', 'lay', 'guitar', 'truth', 'stringin', '', '', '', '']","[""'pretend',"", ""'pretend',"", ""'pretend',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
62,2,18,2_yeah_already_somethin_maybe,"['yeah', 'already', 'somethin', 'maybe', 'sure', 'like', 'else', 'could', 'anything', 'find']","[""'yeah',"", ""'yeah',"", ""'yeah',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
63,3,16,3_well_good_fine_trade,"['well', 'good', 'fine', 'trade', 'rather', 'oh', 'even', 'enough', 'decent', 'boy']","[""'well',"", ""'well',"", ""'well',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
64,4,14,4_know_say_let_tell,"['know', 'say', 'let', 'tell', 'overwhelmed', 'confused', '', '', '', '']","[""'know',"", ""'know',"", ""'know',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
65,5,12,5_right_got_done_wrong,"['right', 'got', 'done', 'wrong', 'hard', '', '', '', '', '']","[""'right',"", ""'right',"", ""'right',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
66,6,11,6_thought_think_thinkin_nerve,"['thought', 'think', 'thinkin', 'nerve', 'mind', 'felt', 'doubt', '', '', '']","[""'think',"", ""'think',"", ""'thought',""]",scared of my guitar,GUTS (spilled),9,GUTS (spilled)-scared of my guitar
67,-1,8,-1_stranger_strangest__,"['stranger', 'strangest', '', '', '', '', '', '', '', '']","[""'stranger',"", ""'stranger',"", ""'stranger',""]",stranger,GUTS (spilled),10,GUTS (spilled)-stranger
68,0,138,0_everything_ooh_nice_feel,"['everything', 'ooh', 'nice', 'feel', 'complete', 'without', 'million', 'made', 'thing', 'cried']","[""'everything',"", ""'everything',"", ""'everything',""]",stranger,GUTS (spilled),10,GUTS (spilled)-stranger
69,1,12,1_know_told__,"['know', 'told', '', '', '', '', '', '', '', '']","[""'know',"", ""'know',"", ""'know',""]",stranger,GUTS (spilled),10,GUTS (spilled)-stranger
70,-1,8,-1_joke_laugh_conversation_,"['joke', 'laugh', 'conversation', '', '', '', '', '', '', '']","[""'joke',"", ""'laugh',"", ""'laugh',""]",so american,GUTS (spilled),11,GUTS (spilled)-so american
71,0,62,0_say_go_love_make,"['say', 'go', 'love', 'make', 'gon', 'might', 'marry', 'feel', 'anywhere', 'keep']","[""'say',"", ""'say',"", ""'say',""]",so american,GUTS (spilled),11,GUTS (spilled)-so american
72,1,54,1_lo_american_na_much,"['lo', 'american', 'na', 'much', 'wan', 'stuff', 'sleep', 'pretty', 'hard', 'got']","[""'lo',"", ""'lo',"", ""'lo',""]",so american,GUTS (spilled),11,GUTS (spilled)-so american
73,2,20,2_oh_shit_fair_ah,"['oh', 'shit', 'fair', 'ah', 'wrong', 'rude', 'really', 'okay', 'boring', 'apologize']","[""'oh',"", ""'oh',"", ""'oh',""]",so american,GUTS (spilled),11,GUTS (spilled)-so american
